GSM,648,4,22313,19693,0,29.7302,-19.5687,12361,22,1,1459677803,1776225059,0
GSM,648,4,22313,20113,0,29.4951,-19.7235,10979,25,1,1459813077,1777869092,0
GSM,648,4,22313,20111,0,29.5559,-19.6891,24086,26,1,1459813077,1778039799,0
GSM,648,1,201,60382,0,25.343,-17.7835,21266,27,1,1399123100,1777091449,0
GSM,648,3,107,30004,0,31,-17.8536,8732,50,1,1408772729,1735108108,0
GSM,648,3,112,13132,0,30.9968,-17.8534,9011,33,1,1408772729,1735108108,0
GSM,648,1,101,65291,0,29.9866,-22.2102,10178,27,1,1437774899,1750829520,0
GSM,648,1,101,65292,0,29.9929,-22.239,8906,23,1,1437774899,1734933537,0
GSM,648,1,201,60381,0,25.2625,-17.793,9560,25,1,1440772343,1778730486,0
GSM,648,4,22210,18473,0,26.1039,-18.2628,13702,11,1,1445053481,1778212469,0
GSM,648,4,22210,18472,0,26.1796,-18.2889,13876,19,1,1445053481,1778212469,0
GSM,648,4,22210,18932,0,26.0759,-18.2444,17217,24,1,1445053724,1778212469,0
GSM,648,4,22210,18931,0,26.0419,-18.2193,21644,25,1,1445054322,1778212472,0
GSM,648,1,201,60912,0,25.8367,-17.992,7897,27,1,1445669401,1752643853,0
GSM,648,4,22210,18561,0,25.8287,-17.9394,6020,27,1,1445721914,1777005200,0
GSM,648,4,22210,18513,0,25.8218,-17.9863,14685,6,1,1445762646,1777005200,0
GSM,648,4,22210,18572,0,25.885,-18.112,5746,5,1,1445843850,1778212478,0
GSM,648,4,22210,18933,0,26.0108,-18.1933,11881,10,1,1445864296,1778212472,0
GSM,648,4,22210,18471,0,26.1663,-18.2828,17462,21,1,1445865775,1778212469,0
GSM,648,4,22225,18163,0,29.1861,-21.0068,9121,24,1,1446043331,1776745988,0
GSM,648,4,22210,18581,0,25.8537,-17.8988,9430,22,1,1446060902,1733986562,0
GSM,648,1,201,60942,0,25.8606,-17.9272,1726,23,1,1446089566,1752643856,0
GSM,648,4,22210,19451,0,25.8453,-17.9146,12129,24,1,1446089566,1749103139,0
GSM,648,4,22210,19332,0,25.8586,-17.9244,5167,18,1,1446089566,1733986562,0
GSM,648,4,22210,19452,0,25.8297,-17.9449,9741,16,1,1446089566,1778212573,0
GSM,648,4,22210,18511,0,25.8534,-17.9097,10613,18,1,1446089566,1778212573,0
GSM,648,4,22210,18582,0,25.8542,-17.9312,5554,13,1,1446093290,1733986576,0
GSM,648,4,22210,19572,0,25.8524,-17.9259,1970,13,1,1446093290,1733986562,0
