district_code,district_name,year,population
ZW_404,Kariba,2036,59106
ZW_404,Kariba,2037,60244
ZW_404,Kariba,2038,61431
ZW_404,Kariba,2039,62658
ZW_404,Kariba,2040,63932
ZW_404,Kariba,2041,65249
ZW_404,Kariba,2042,66570
ZW_424,Kariba Urban,2022,27930
ZW_424,Kariba Urban,2023,28510
ZW_424,Kariba Urban,2024,29082
ZW_424,Kariba Urban,2025,29668
ZW_424,Kariba Urban,2026,30268
ZW_424,Kariba Urban,2027,30862
ZW_424,Kariba Urban,2028,31455
ZW_424,Kariba Urban,2029,32044
ZW_424,Kariba Urban,2030,32642
ZW_424,Kariba Urban,2031,33256
ZW_424,Kariba Urban,2032,33879
ZW_424,Kariba Urban,2033,34503
ZW_424,Kariba Urban,2034,35135
ZW_424,Kariba Urban,2035,35772
ZW_424,Kariba Urban,2036,36431
ZW_424,Kariba Urban,2037,37116
ZW_424,Kariba Urban,2038,37806
ZW_424,Kariba Urban,2039,38510
ZW_424,Kariba Urban,2040,39223
ZW_424,Kariba Urban,2041,39963
ZW_424,Kariba Urban,2042,40728
ZW_426,Karoi,2022,37576
ZW_426,Karoi,2023,38327
ZW_426,Karoi,2024,39074
ZW_426,Karoi,2025,39830
ZW_426,Karoi,2026,40620
ZW_426,Karoi,2027,41401
ZW_426,Karoi,2028,42185
ZW_426,Karoi,2029,42965
ZW_426,Karoi,2030,43745
ZW_426,Karoi,2031,44551
ZW_426,Karoi,2032,45373
ZW_426,Karoi,2033,46208
ZW_426,Karoi,2034,47056
ZW_426,Karoi,2035,47913
ZW_426,Karoi,2036,48812
ZW_426,Karoi,2037,49761
ZW_426,Karoi,2038,50711
ZW_426,Karoi,2039,51678
ZW_426,Karoi,2040,52656
ZW_426,Karoi,2041,53650
ZW_426,Karoi,2042,54683
ZW_405,Makonde,2022,209912
ZW_405,Makonde,2023,214112
ZW_405,Makonde,2024,218291
ZW_405,Makonde,2025,222421
ZW_405,Makonde,2026,226557
ZW_405,Makonde,2027,230793
ZW_405,Makonde,2028,235095
ZW_405,Makonde,2029,239449
ZW_405,Makonde,2030,243830
ZW_405,Makonde,2031,248272
ZW_405,Makonde,2032,252866
ZW_405,Makonde,2033,257565
ZW_405,Makonde,2034,262422
ZW_405,Makonde,2035,267447
ZW_405,Makonde,2036,272590
ZW_405,Makonde,2037,277859
ZW_405,Makonde,2038,283349
ZW_405,Makonde,2039,288994
ZW_405,Makonde,2040,294780
ZW_405,Makonde,2041,300687
ZW_405,Makonde,2042,306687
ZW_403,Mhondoro-Ngezi,2022,141004
ZW_403,Mhondoro-Ngezi,2023,143806
ZW_403,Mhondoro-Ngezi,2024,146588
ZW_403,Mhondoro-Ngezi,2025,149356
ZW_403,Mhondoro-Ngezi,2026,152153
ZW_403,Mhondoro-Ngezi,2027,154965
ZW_403,Mhondoro-Ngezi,2028,157837
ZW_403,Mhondoro-Ngezi,2029,160762
ZW_403,Mhondoro-Ngezi,2030,163718
ZW_403,Mhondoro-Ngezi,2031,166790
ZW_403,Mhondoro-Ngezi,2032,169942
ZW_403,Mhondoro-Ngezi,2033,173171
ZW_403,Mhondoro-Ngezi,2034,176469
ZW_403,Mhondoro-Ngezi,2035,179836
ZW_403,Mhondoro-Ngezi,2036,183286
ZW_403,Mhondoro-Ngezi,2037,186847
ZW_403,Mhondoro-Ngezi,2038,190501
ZW_403,Mhondoro-Ngezi,2039,194259
ZW_403,Mhondoro-Ngezi,2040,198082
ZW_403,Mhondoro-Ngezi,2041,201961
ZW_403,Mhondoro-Ngezi,2042,206001
ZW_425,Norton,2022,87090
ZW_425,Norton,2023,88904
ZW_425,Norton,2024,90711
ZW_425,Norton,2025,92545
ZW_425,Norton,2026,94441
ZW_425,Norton,2027,96348
ZW_425,Norton,2028,98259
ZW_425,Norton,2029,100156
ZW_425,Norton,2030,102087
ZW_425,Norton,2031,104059
ZW_425,Norton,2032,106088
ZW_425,Norton,2033,108129
ZW_425,Norton,2034,110205
ZW_425,Norton,2035,112297
ZW_425,Norton,2036,114421
ZW_425,Norton,2037,116637
ZW_425,Norton,2038,118864
ZW_425,Norton,2039,121122
ZW_425,Norton,2040,123396
ZW_425,Norton,2041,125705
ZW_425,Norton,2042,128110
